param,value,seed,utility,cost,budget,deadline,n_calls,budget_violated,deadline_violated
alpha,1.5,4,0.05142540249682237,6.852292272603659,129.86753556933985,19.658445305307385,6,0,0
alpha,1.5,5,0.9982073093376397,24.67251432501956,138.58739644977362,19.8850671800549,18,0,0
alpha,1.5,6,0.7035329151473638,25.41334935965725,152.63642799849495,19.68799226363999,16,0,0
alpha,1.5,7,0.0,7.472861594328413,136.33679582052247,19.795082862018102,6,0,0
alpha,1.5,8,0.05395929038482794,7.381295629332481,146.94573413600463,19.829734676305463,6,0,0
alpha,1.5,9,0.9994619691876996,17.01248708558739,138.7212846479418,19.879945547363928,12,0,0
alpha,1.5,10,0.06856838877573512,10.226314426295934,138.24775601256556,19.634399072330147,6,0,0
alpha,1.5,11,0.9666641463025116,27.517837343157005,133.06380839248223,19.40022302179963,16,0,0
alpha,1.5,12,0.9893147780711998,29.815021027241443,141.7838736784221,19.475342845687138,19,0,0
alpha,1.5,13,0.8776188848254733,19.591417533284037,144.18967321701786,19.28315535251228,13,0,0
alpha,1.5,14,0.2749870414802842,14.765092853068998,148.10161931694748,19.94731612408646,10,0,0
alpha,1.5,15,0.5451237576192087,13.537080503940839,152.5165229879927,19.519983602231463,11,0,0
alpha,1.5,16,0.19044879534920545,8.786711243820715,129.2154596653402,19.594900990884863,6,0,0
alpha,1.5,17,0.05222121109769062,8.166635704323742,137.79053268663495,19.694324134441906,6,0,0
alpha,1.5,18,0.9912101559497972,57.858752575172275,147.15965589969775,19.965807181915302,13,0,0
alpha,1.5,19,0.9777768958549694,17.01079184557042,133.7251880801041,18.672913679531057,12,0,0
alpha,1.5,20,0.7424115912065528,16.880173876280026,135.20194130422368,19.38145349412784,12,0,0
alpha,1.5,21,0.6141549772525241,30.880276326253252,133.3022940071093,19.291488511050467,17,0,0
alpha,1.5,22,0.037662512358037414,6.721209617979462,140.6997216751957,19.940466745555796,6,0,0
alpha,1.5,23,0.8905117546258723,30.193898865655246,126.85169073903022,19.991354876439946,19,0,0
alpha,1.5,24,0.3816889096380329,7.2730492257164405,126.73787248075841,19.608142816032085,6,0,0
alpha,1.5,25,0.9881692245350796,29.05141477829626,131.76837230537117,19.948909662864725,17,0,0
alpha,1.5,26,0.984514117630677,20.815242272257002,143.71707438122846,19.8863166186241,17,0,0
alpha,1.5,27,0.9980476248491003,31.04554631053293,145.81860046589225,19.921453384203605,19,0,0
alpha,1.5,28,0.07598022234563007,6.3262960892395865,133.49651235662887,19.94934374419636,6,0,0
alpha,1.5,29,0.8697561661627866,22.725459704903106,147.25464916720364,19.5301031298607,14,0,0
alpha,1.5,30,0.9994786258620568,52.78516859862121,127.20829845883712,18.954025226134434,24,0,0
alpha,1.5,31,0.993977535137843,40.2720368883937,126.9191712125254,19.864744398410593,23,0,0
alpha,1.5,32,0.99840848789948,26.49378528553926,139.4217736885949,19.60051408108595,17,0,0
alpha,1.5,33,0.03324092078154295,12.109011863384826,131.51622391886252,19.989012424497428,6,0,0
alpha,1.5,34,0.9966133183017051,25.20040131548427,136.9883202068158,19.948143057686053,16,0,0
alpha,1.5,35,0.8391629215495778,24.446273323404846,144.27752263389232,19.176651080137535,18,0,0
