profile,K,seed,policy,utility,cost,budget,n_calls,budget_violated,deadline_violated,oracle_utility,regret
toolbench_subset,100,38,cbuc,0.08679864668827109,7.659421180257482,84.4038457667403,6,0,0,0.979051192326827,0.8922525456385559
toolbench_subset,100,38,cbuc_aggr,0.26904871351445403,8.8269275989832,84.4038457667403,6,0,0,0.979051192326827,0.710002478812373
toolbench_subset,100,39,react_capped,0.28672353402199113,85.98076573377271,81.01342476565864,14,1,0,0.9827135194263532,0.6959899854043621
toolbench_subset,100,39,bwk_vanilla,0.8630721177665068,263.7140315534777,81.01342476565864,12,1,0,0.9827135194263532,0.11964140165984638
toolbench_subset,100,39,cbuc,0.214847889297218,10.863113381299637,81.01342476565864,6,0,0,0.9827135194263532,0.7678656301291352
toolbench_subset,100,39,cbuc_aggr,0.235710343513707,7.014172134925498,81.01342476565864,6,0,0,0.9827135194263532,0.7470031759126462
toolbench_subset,100,40,react_capped,0.43984792875783485,87.28084657137661,86.60741162804264,12,1,0,0.8747519901135118,0.43490406135567694
toolbench_subset,100,40,bwk_vanilla,0.6019647305023226,107.94688903548924,86.60741162804264,16,1,0,0.8747519901135118,0.2727872596111892
toolbench_subset,100,40,cbuc,0.2551083296478449,18.27301954850848,86.60741162804264,6,0,0,0.8747519901135118,0.6196436604656669
toolbench_subset,100,40,cbuc_aggr,0.2268849721922872,10.153520422121534,86.60741162804264,6,0,0,0.8747519901135118,0.6478670179212246
toolbench_subset,100,41,react_capped,0.8688557363252349,79.22389373461992,88.733455392334,19,0,1,0.993028739367212,0.12417300304197709
toolbench_subset,100,41,bwk_vanilla,0.7941465079505919,89.98727354691424,88.733455392334,15,1,0,0.993028739367212,0.1988822314166201
toolbench_subset,100,41,cbuc,0.997768719822617,87.60382525924196,88.733455392334,18,0,0,0.993028739367212,-0.004739980455404913
toolbench_subset,100,41,cbuc_aggr,0.9953156860624397,43.18536612830692,88.733455392334,23,0,0,0.993028739367212,-0.002286946695227665
toolbench_subset,100,42,react_capped,0.9176076375805322,47.369291194702825,79.53339917850693,15,0,1,0.9920186456595711,0.07441100807903889
toolbench_subset,100,42,bwk_vanilla,0.3664579185122785,77.53377935966628,79.53339917850693,20,0,0,0.9920186456595711,0.6255607271472926
toolbench_subset,100,42,cbuc,0.10113452026373104,26.654842957973393,79.53339917850693,6,0,0,0.9920186456595711,0.89088412539584
toolbench_subset,100,42,cbuc_aggr,0.0,11.116228776105482,79.53339917850693,6,0,0,0.9920186456595711,0.9920186456595711
toolbench_subset,100,43,react_capped,0.896482934516758,81.9533570341998,78.68106887570815,20,1,1,0.9840815155714077,0.08759858105464968
toolbench_subset,100,43,bwk_vanilla,0.9267821921661235,78.08841010052647,78.68106887570815,19,0,0,0.9840815155714077,0.05729932340528421
toolbench_subset,100,43,cbuc,0.9999998909706016,43.45937821979507,78.68106887570815,34,0,0,0.9840815155714077,-0.01591837539919394
toolbench_subset,100,43,cbuc_aggr,0.9999999758506448,57.688069337744906,78.68106887570815,37,0,0,0.9840815155714077,-0.015918460279237157
toolbench_subset,100,44,react_capped,0.3993807923298479,88.15193298085441,87.9160229231448,16,1,0,0.9388888769718443,0.5395080846419964
toolbench_subset,100,44,bwk_vanilla,0.6255428113370195,80.4782230974113,87.9160229231448,21,0,0,0.9388888769718443,0.3133460656348248
toolbench_subset,100,44,cbuc,0.9389899529776831,40.337242322473536,87.9160229231448,18,0,0,0.9388888769718443,-0.00010107600583875165
toolbench_subset,100,44,cbuc_aggr,0.9940087086795142,47.93359273404066,87.9160229231448,29,0,0,0.9388888769718443,-0.055119831707669875
