sparsity,seed,policy,utility,cost,budget,budget_violated,oracle_utility,regret
0.1,5,bwk_vanilla,0.8396347869205438,95.21015755397593,145.7262839826023,0,0.848438579058495,0.008803792137951127
0.1,5,cbuc,0.614806103012397,26.754165564511784,145.7262839826023,0,0.848438579058495,0.23363247604609794
0.1,5,cbuc_aggr,0.9558725483023469,96.08415583016644,145.7262839826023,0,0.848438579058495,-0.10743396924385196
0.1,6,react_capped,0.7367233559986881,88.6373789004165,140.26289520797062,0,0.9161651414767675,0.17944178547807943
0.1,6,bwk_vanilla,0.9008904117252505,84.30391442803212,140.26289520797062,0,0.9161651414767675,0.015274729751517002
0.1,6,cbuc,0.1736079085276574,9.087977140416106,140.26289520797062,0,0.9161651414767675,0.7425572329491101
0.1,6,cbuc_aggr,0.056877870857873325,16.99496026603334,140.26289520797062,0,0.9161651414767675,0.8592872706188942
0.1,7,react_capped,0.7790902381174545,101.7099805205761,139.08746063725442,0,0.8666901648961567,0.08759992677870221
0.1,7,bwk_vanilla,0.6636767245824718,80.58276225723388,139.08746063725442,0,0.8666901648961567,0.20301344031368485
0.1,7,cbuc,0.1821441732801643,7.8397481546067525,139.08746063725442,0,0.8666901648961567,0.6845459916159924
0.1,7,cbuc_aggr,0.16051767306891807,10.984797759991796,139.08746063725442,0,0.8666901648961567,0.7061724918272386
0.1,8,react_capped,0.9582455493028886,136.91724399437697,135.91261573414877,1,0.9283728563345138,-0.029872692968374803
0.1,8,bwk_vanilla,0.8572532606125136,106.64910890641876,135.91261573414877,0,0.9283728563345138,0.07111959572200022
0.1,8,cbuc,0.0831912099210671,14.124703654947043,135.91261573414877,0,0.9283728563345138,0.8451816464134467
0.1,8,cbuc_aggr,0.0,6.776867290636177,135.91261573414877,0,0.9283728563345138,0.9283728563345138
0.1,9,react_capped,0.8926642865737258,100.97168947754477,121.19468359479254,0,0.9403624780813241,0.04769819150759835
0.1,9,bwk_vanilla,0.8715643418103542,65.17919293434059,121.19468359479254,0,0.9403624780813241,0.06879813627096987
0.1,9,cbuc,0.5245945214675498,26.703036680448097,121.19468359479254,0,0.9403624780813241,0.4157679566137743
0.1,9,cbuc_aggr,0.057786803688850474,10.817748473579377,121.19468359479254,0,0.9403624780813241,0.8825756743924736
0.1,10,react_capped,0.7079939658395559,76.26532000591848,136.2876601157792,0,0.834425165558625,0.12643119971906913
0.1,10,bwk_vanilla,0.8987599815290901,139.1352513754879,136.2876601157792,1,0.834425165558625,-0.06433481597046509
0.1,10,cbuc,0.6803990582973309,41.1069183242298,136.2876601157792,0,0.834425165558625,0.15402610726129407
0.1,10,cbuc_aggr,0.1701471771072065,8.596043874703359,136.2876601157792,0,0.834425165558625,0.6642779884514185
0.1,11,react_capped,0.6793691827020871,98.47161243545148,156.1498835843455,0,0.9111081029665323,0.2317389202644452
0.1,11,bwk_vanilla,0.6554164011624157,92.34489623651976,156.1498835843455,0,0.9111081029665323,0.2556917018041166
0.1,11,cbuc,0.9696948037588352,60.26896243878954,156.1498835843455,0,0.9111081029665323,-0.05858670079230288
0.1,11,cbuc_aggr,0.9909607492433348,36.869138242775506,156.1498835843455,0,0.9111081029665323,-0.07985264627680244
0.1,12,react_capped,0.86582321959722,99.82581044610644,137.82403746535053,0,0.9015631425684912,0.035739922971271265
0.1,12,bwk_vanilla,0.5166260539260881,113.83895999499188,137.82403746535053,0,0.9015631425684912,0.38493708864240317
0.1,12,cbuc,0.7612437817592319,29.05640055024278,137.82403746535053,0,0.9015631425684912,0.14031936080925933
0.1,12,cbuc_aggr,0.1564280437121377,9.373648234937736,137.82403746535053,0,0.9015631425684912,0.7451350988563535
