K,rho,cost_tail,utility_sparsity,seed,policy,utility,cost,latency,n_calls,budget,deadline,budget_violated,deadline_violated,oracle_utility,regret
10,0.2,1.5,0.2,1859781914,react_capped,0.6145420852756482,10.196859302542903,2.8237479343637135,3,9.59469539254918,16.309274773263866,1,0,0.5754008856387569,-0.03914119963689133
10,0.2,1.5,0.2,1859781914,nonadaptive_greedy,0.5726145365459012,2.226936048167029,0.7951882928787564,1,9.59469539254918,16.309274773263866,0,0,0.5754008856387569,0.002786349092855689
10,0.2,1.5,0.2,1859781914,bwk_vanilla,0.20785754709390514,8.975250098277439,7.348297860368201,7,9.59469539254918,16.309274773263866,0,0,0.5754008856387569,0.36754333854485177
10,0.2,1.5,0.2,1859781914,cbuc,0.011841228543673976,3.0268514828441484,2.8645865196365716,4,9.59469539254918,16.309274773263866,0,0,0.5754008856387569,0.5635596570950829
10,0.2,1.5,0.2,1859781914,cbuc_mod,0.015879359405411186,4.4560035183990445,3.1321639111144375,6,9.59469539254918,16.309274773263866,0,0,0.5754008856387569,0.5595215262333457
10,0.2,1.5,0.2,1859781914,cbuc_aggr,0.13199108551701944,4.922015623025674,3.9466184148500982,6,9.59469539254918,16.309274773263866,0,0,0.5754008856387569,0.4434098001217375
10,0.2,1.5,0.2,1859781914,lagrangian,0.11792458057123789,12.307042841362298,1.2435241001448603,1,9.59469539254918,16.309274773263866,1,0,0.5754008856387569,0.457476305067519
10,0.2,1.5,0.2,1859781914,cvar_bwk,0.06689209701211041,14.295237387299412,2.522357777722763,2,9.59469539254918,16.309274773263866,1,0,0.5754008856387569,0.5085087886266465
10,0.2,1.5,0.2,1859781914,precheck_ucb,0.5416541711130977,8.269162078348629,3.4728353986652425,6,9.59469539254918,16.309274773263866,0,0,0.5754008856387569,0.03374671452565925
10,0.2,1.5,0.2,1859781914,cc_knapsack,0.0,0.0,0.0,0,9.59469539254918,16.309274773263866,0,0,0.5754008856387569,0.5754008856387569
10,0.2,1.5,0.2,3527320044,react_uncapped,0.9960589995386353,77.06994723415293,34.41736151973051,30,8.778531804669436,18.08016933487572,1,1,0.5585750782099896,-0.43748392132864566
10,0.2,1.5,0.2,3527320044,react_capped,0.6190657268509328,16.888063353779373,2.779526878195939,3,8.778531804669436,18.08016933487572,1,0,0.5585750782099896,-0.06049064864094311
10,0.2,1.5,0.2,3527320044,nonadaptive_greedy,0.7470778656249458,13.205882102510047,4.3122465076008885,3,8.778531804669436,18.08016933487572,1,0,0.5585750782099896,-0.18850278741495619
10,0.2,1.5,0.2,3527320044,bwk_vanilla,0.17374023978885278,11.89169589700404,1.5506808431065284,1,8.778531804669436,18.08016933487572,1,0,0.5585750782099896,0.38483483842113686
10,0.2,1.5,0.2,3527320044,cbuc,0.8253095832228389,4.246571973575202,4.506581344902968,4,8.778531804669436,18.08016933487572,0,0,0.5585750782099896,-0.26673450501284923
10,0.2,1.5,0.2,3527320044,cbuc_mod,0.8341239806460159,6.818535151049387,5.882702554795763,5,8.778531804669436,18.08016933487572,0,0,0.5585750782099896,-0.27554890243602626
10,0.2,1.5,0.2,3527320044,cbuc_aggr,0.9515201028246185,6.611043116483718,6.926372123060675,6,8.778531804669436,18.08016933487572,0,0,0.5585750782099896,-0.3929450246146289
10,0.2,1.5,0.2,3527320044,lagrangian,0.8784560570613479,9.56998354164319,8.96676066415728,7,8.778531804669436,18.08016933487572,1,0,0.5585750782099896,-0.31988097885135824
10,0.2,1.5,0.2,3527320044,cvar_bwk,0.47102145076857216,7.9408981501880715,7.960894710514073,5,8.778531804669436,18.08016933487572,0,0,0.5585750782099896,0.08755362744141748
10,0.2,1.5,0.2,3527320044,precheck_ucb,0.9984854023017447,7.436793613604284,13.224686301308974,11,8.778531804669436,18.08016933487572,0,0,0.5585750782099896,-0.439910324091755
10,0.2,1.5,0.2,3527320044,cc_knapsack,0.0,0.0,0.0,0,8.778531804669436,18.08016933487572,0,0,0.5585750782099896,0.5585750782099896
10,0.2,1.5,0.2,3146713413,react_uncapped,0.82711206276658,150.10706201679233,27.982899647381142,30,11.382964200901847,19.556164993456445,1,1,0.31431076635624244,-0.5128012964103376
10,0.2,1.5,0.2,3146713413,react_capped,0.07444130301775731,12.317563390617526,4.155451217103636,4,11.382964200901847,19.556164993456445,1,0,0.31431076635624244,0.23986946333848513
10,0.2,1.5,0.2,3146713413,nonadaptive_greedy,0.42135244644854575,2.6723584786669883,1.0591949268080363,1,11.382964200901847,19.556164993456445,0,0,0.31431076635624244,-0.1070416800923033
10,0.2,1.5,0.2,3146713413,bwk_vanilla,0.07215976006010882,10.91109124936978,11.358507126610439,6,11.382964200901847,19.556164993456445,0,0,0.31431076635624244,0.24215100629613362
10,0.2,1.5,0.2,3146713413,cbuc,0.03388659311641351,7.229368049471294,1.190209608688913,1,11.382964200901847,19.556164993456445,0,0,0.31431076635624244,0.28042417323982893
10,0.2,1.5,0.2,3146713413,cbuc_mod,0.3527790951575246,7.2324276318927865,8.412442787706208,6,11.382964200901847,19.556164993456445,0,0,0.31431076635624244,-0.03846832880128215
10,0.2,1.5,0.2,3146713413,cbuc_aggr,0.3602446475376373,8.820680150246469,11.574871710416916,7,11.382964200901847,19.556164993456445,0,0,0.31431076635624244,-0.04593388118139485
10,0.2,1.5,0.2,3146713413,lagrangian,0.0,13.570655827301987,1.9244963261803039,2,11.382964200901847,19.556164993456445,1,0,0.31431076635624244,0.31431076635624244
10,0.2,1.5,0.2,3146713413,cvar_bwk,0.17352994840678237,10.474298132364908,6.1083587896804525,4,11.382964200901847,19.556164993456445,0,0,0.31431076635624244,0.14078081794946007
10,0.2,1.5,0.2,3146713413,precheck_ucb,0.03407891648157557,9.559381493120014,9.772659591275932,6,11.382964200901847,19.556164993456445,0,0,0.31431076635624244,0.28023184987466687
10,0.2,1.5,0.2,3146713413,cc_knapsack,0.0,0.0,0.0,0,11.382964200901847,19.556164993456445,0,0,0.31431076635624244,0.31431076635624244
10,0.2,1.5,0.2,2666767895,react_uncapped,0.9049171787713302,79.40935005032209,48.41183086745097,30,7.517282695396682,19.74651284952962,1,1,0.46337482461765533,-0.4415423541536748
10,0.2,1.5,0.2,2666767895,react_capped,0.17652154865002578,7.755661042033559,3.100747337882148,2,7.517282695396682,19.74651284952962,1,0,0.46337482461765533,0.28685327596762955
10,0.2,1.5,0.2,2666767895,nonadaptive_greedy,0.5881463757199383,8.085102194248556,6.324893883150837,4,7.517282695396682,19.74651284952962,1,0,0.46337482461765533,-0.124771551102283
10,0.2,1.5,0.2,2666767895,bwk_vanilla,0.4478580570353241,122.57339982715263,8.128343170632093,5,7.517282695396682,19.74651284952962,1,0,0.46337482461765533,0.015516767582331226
10,0.2,1.5,0.2,2666767895,cbuc,0.318405505210971,3.9811501507692535,4.343313402293588,3,7.517282695396682,19.74651284952962,0,0,0.46337482461765533,0.14496931940668434
10,0.2,1.5,0.2,2666767895,cbuc_mod,0.3871293079449556,7.285949769873359,6.700727658495223,4,7.517282695396682,19.74651284952962,0,0,0.46337482461765533,0.07624551667269974
10,0.2,1.5,0.2,2666767895,cbuc_aggr,0.7235638385220589,5.257124462032351,8.968669491397241,6,7.517282695396682,19.74651284952962,0,0,0.46337482461765533,-0.2601890139044035
10,0.2,1.5,0.2,2666767895,lagrangian,0.22021809212261345,17.020362379247086,1.0400857116919062,1,7.517282695396682,19.74651284952962,1,0,0.46337482461765533,0.24315673249504188
10,0.2,1.5,0.2,2666767895,cvar_bwk,0.42984183646306007,6.559723990087175,9.178887728303819,6,7.517282695396682,19.74651284952962,0,0,0.46337482461765533,0.03353298815459527
10,0.2,1.5,0.2,2666767895,precheck_ucb,0.0010523689358603594,6.208832835069509,6.0656514044327885,4,7.517282695396682,19.74651284952962,0,0,0.46337482461765533,0.462322455681795
10,0.2,1.5,0.2,2666767895,cc_knapsack,0.0,0.0,0.0,0,7.517282695396682,19.74651284952962,0,0,0.46337482461765533,0.46337482461765533
10,0.2,1.5,0.2,2286161264,react_uncapped,0.9906119588581567,123.12300559220984,29.9276770647665,30,9.228117368595866,18.584281780148714,1,1,0.7206138139262935,-0.26999814493186314
10,0.2,1.5,0.2,2286161264,react_capped,0.5147548102245316,12.362090020880892,4.650225782479476,4,9.228117368595866,18.584281780148714,1,0,0.7206138139262935,0.2058590037017619
10,0.2,1.5,0.2,2286161264,nonadaptive_greedy,0.7815465910207472,4.336618613759077,2.409286139101509,2,9.228117368595866,18.584281780148714,0,0,0.7206138139262935,-0.06093277709445366
10,0.2,1.5,0.2,2286161264,bwk_vanilla,0.0,17.240915590636295,1.5660771375480078,1,9.228117368595866,18.584281780148714,1,0,0.7206138139262935,0.7206138139262935
10,0.2,1.5,0.2,2286161264,cbuc,0.1644696693395099,2.6221815228268053,2.0260968277886233,2,9.228117368595866,18.584281780148714,0,0,0.7206138139262935,0.5561441445867836
